number,position,Q1,Q2,Q3,positionText,points,grid,laps,status,year,gpName,gpNumber,sessionName,driverId,code,DriverNationality,constructorId,constructorNationality,fastestLapNumber,fastestLapRank,fastestLapAvgSpeed,fastestLapTime,totalTime,TimeInterval
44,1,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,hamilton,HAM,British,mercedes,German,10.0,1,,0 days 00:01:33.999000,,
7,2,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,raikkonen,RAI,Finnish,ferrari,Italian,12.0,2,,0 days 00:01:34.358000,,
77,3,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,bottas,BOT,Finnish,mercedes,German,17.0,3,,0 days 00:01:34.457000,,
3,4,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,ricciardo,RIC,Australian,red_bull,Austrian,12.0,4,,0 days 00:01:34.537000,,
33,5,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,max_verstappen,VER,Dutch,red_bull,Austrian,13.0,5,,0 days 00:01:34.668000,,
5,6,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,vettel,VET,German,ferrari,Italian,9.0,6,,0 days 00:01:34.861000,,
20,7,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,kevin_magnussen,MAG,Danish,haas,American,11.0,7,,0 days 00:01:35.178000,,
55,8,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,sainz,SAI,Spanish,renault,French,11.0,8,,0 days 00:01:35.616000,,
8,9,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,grosjean,GRO,French,haas,American,12.0,9,,0 days 00:01:35.718000,,
27,10,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,hulkenberg,HUL,German,renault,French,11.0,10,,0 days 00:01:35.800000,,
10,11,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,gasly,GAS,French,toro_rosso,Italian,12.0,11,,0 days 00:01:36.037000,,
14,12,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,alonso,ALO,Spanish,mclaren,British,13.0,12,,0 days 00:01:36.044000,,
11,13,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,perez,PER,Mexican,force_india,Indian,13.0,13,,0 days 00:01:36.051000,,
31,14,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,ocon,OCO,French,force_india,Indian,16.0,14,,0 days 00:01:36.351000,,
35,15,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,sirotkin,SIR,Russian,williams,British,14.0,15,,0 days 00:01:36.691000,,
28,16,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,brendon_hartley,HAR,New Zealander,toro_rosso,Italian,13.0,16,,0 days 00:01:36.715000,,
16,17,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,leclerc,LEC,Monegasque,sauber,Swiss,15.0,17,,0 days 00:01:36.723000,,
2,18,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,vandoorne,VAN,Belgian,mclaren,British,13.0,18,,0 days 00:01:36.756000,,
9,19,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,ericsson,ERI,Swedish,sauber,Swiss,13.0,19,,0 days 00:01:36.909000,,
18,20,,,,,,,,,2018,Chinese Grand Prix,3,Practice 1,stroll,STR,Canadian,williams,British,15.0,20,,0 days 00:01:37.277000,,
44,1,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,hamilton,HAM,British,mercedes,German,7.0,1,,0 days 00:01:33.482000,,
7,2,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,raikkonen,RAI,Finnish,ferrari,Italian,10.0,2,,0 days 00:01:33.489000,,
77,3,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,bottas,BOT,Finnish,mercedes,German,7.0,3,,0 days 00:01:33.515000,,
5,4,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,vettel,VET,German,ferrari,Italian,8.0,4,,0 days 00:01:33.590000,,
33,5,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,max_verstappen,VER,Dutch,red_bull,Austrian,7.0,5,,0 days 00:01:33.823000,,
27,6,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,hulkenberg,HUL,German,renault,French,7.0,6,,0 days 00:01:34.313000,,
20,7,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,kevin_magnussen,MAG,Danish,haas,American,11.0,7,,0 days 00:01:34.458000,,
55,8,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,sainz,SAI,Spanish,renault,French,9.0,8,,0 days 00:01:34.473000,,
3,9,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,ricciardo,RIC,Australian,red_bull,Austrian,9.0,9,,0 days 00:01:34.557000,,
14,10,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,alonso,ALO,Spanish,mclaren,British,8.0,10,,0 days 00:01:34.632000,,
11,11,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,perez,PER,Mexican,force_india,Indian,7.0,11,,0 days 00:01:34.792000,,
10,12,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,gasly,GAS,French,toro_rosso,Italian,9.0,12,,0 days 00:01:34.849000,,
31,13,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,ocon,OCO,French,force_india,Indian,8.0,13,,0 days 00:01:34.874000,,
2,14,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,vandoorne,VAN,Belgian,mclaren,British,7.0,14,,0 days 00:01:35.163000,,
28,15,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,brendon_hartley,HAR,New Zealander,toro_rosso,Italian,9.0,15,,0 days 00:01:35.333000,,
35,16,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,sirotkin,SIR,Russian,williams,British,9.0,16,,0 days 00:01:35.340000,,
9,17,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,ericsson,ERI,Swedish,sauber,Swiss,11.0,17,,0 days 00:01:35.624000,,
16,18,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,leclerc,LEC,Monegasque,sauber,Swiss,11.0,18,,0 days 00:01:35.916000,,
8,19,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,grosjean,GRO,French,haas,American,6.0,19,,0 days 00:01:36.471000,,
18,20,,,,,,,,,2018,Chinese Grand Prix,3,Practice 2,stroll,STR,Canadian,williams,British,5.0,20,,0 days 00:01:37.147000,,
5,1,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,vettel,VET,German,ferrari,Italian,8.0,1,,0 days 00:01:33.018000,,
7,2,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,raikkonen,RAI,Finnish,ferrari,Italian,9.0,2,,0 days 00:01:33.469000,,
77,3,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,bottas,BOT,Finnish,mercedes,German,13.0,3,,0 days 00:01:33.761000,,
33,4,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,max_verstappen,VER,Dutch,red_bull,Austrian,9.0,4,,0 days 00:01:33.969000,,
44,5,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,hamilton,HAM,British,mercedes,German,10.0,5,,0 days 00:01:34.057000,,
20,6,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,kevin_magnussen,MAG,Danish,haas,American,21.0,6,,0 days 00:01:34.329000,,
11,7,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,perez,PER,Mexican,force_india,Indian,10.0,7,,0 days 00:01:34.445000,,
31,8,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,ocon,OCO,French,force_india,Indian,11.0,8,,0 days 00:01:34.456000,,
55,9,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,sainz,SAI,Spanish,renault,French,10.0,9,,0 days 00:01:34.582000,,
35,10,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,sirotkin,SIR,Russian,williams,British,10.0,10,,0 days 00:01:34.741000,,
27,11,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,hulkenberg,HUL,German,renault,French,8.0,11,,0 days 00:01:34.841000,,
14,12,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,alonso,ALO,Spanish,mclaren,British,12.0,12,,0 days 00:01:34.851000,,
2,13,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,vandoorne,VAN,Belgian,mclaren,British,13.0,13,,0 days 00:01:34.977000,,
28,14,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,brendon_hartley,HAR,New Zealander,toro_rosso,Italian,16.0,14,,0 days 00:01:34.991000,,
3,15,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,ricciardo,RIC,Australian,red_bull,Austrian,2.0,15,,0 days 00:01:35.061000,,
10,16,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,gasly,GAS,French,toro_rosso,Italian,13.0,16,,0 days 00:01:35.079000,,
18,17,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,stroll,STR,Canadian,williams,British,13.0,17,,0 days 00:01:35.375000,,
16,18,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,leclerc,LEC,Monegasque,sauber,Swiss,10.0,18,,0 days 00:01:35.497000,,
9,19,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,ericsson,ERI,Swedish,sauber,Swiss,10.0,19,,0 days 00:01:35.679000,,
8,20,,,,,,,,,2018,Chinese Grand Prix,3,Practice 3,grosjean,GRO,French,haas,American,3.0,20,,0 days 00:01:35.756000,,
5,1,1:32.171,1:32.385,1:31.095,,,,,,2018,Chinese Grand Prix,3,Qualifying,vettel,VET,German,ferrari,Italian,,,,1:31.095,,
7,2,1:32.474,1:32.286,1:31.182,,,,,,2018,Chinese Grand Prix,3,Qualifying,raikkonen,RAI,Finnish,ferrari,Italian,,,,1:31.182,,
77,3,1:32.921,1:32.063,1:31.625,,,,,,2018,Chinese Grand Prix,3,Qualifying,bottas,BOT,Finnish,mercedes,German,,,,1:31.625,,
